finding_id,theme,type,statement,example,relations
F225,Fundamentals,context,"Almost no country has dedicated staff for coordination below national level. The work is added to people who already hold full-time jobs. Where posts do exist, they are among the first cut. Meanwhile more tasks keep being handed to structures whose staffing has not grown.","Mali — coordination is carried by a co-facilitator whose post is programme-funded, with about thirty per cent of time notionally available. He can attend meetings; he cannot draft the indicators, objectives and strategy against planning deadlines.",
F019,Fundamentals,barrier,Coordinator and information posts are cut ahead of programme staff. About half of WASH coordination and information capacity worldwide has been affected. Subnational posts paid through partner agreements are quietly not renewed.,Syria — abolishing coordinator positions was the mechanism chosen to meet a budget reduction of fifteen to twenty per cent.,
F028,Fundamentals,barrier,"When budgets shrink, information posts go before any others. They are downgraded, left empty, or handed to volunteers. By the time a handover is being planned, the systems and the memory needed to plan it have already gone.",Somalia — IM recruitment was cancelled and the post reissued as a volunteer role. Partner reporting continued to arrive while the public dashboard and contact lists went unupdated for months.,
F027,Fundamentals,barrier,"New coordinators often arrive with no handover and rebuild the picture from shared drives. Where a link to another structure runs through one person rather than a written arrangement, it ends when that person leaves.","Libya — when coordination restarted after a major flood, no record of earlier technical decisions existed, so the technical working group held the same discussions again from the beginning.",
F364,Fundamentals,barrier,"Relationships with government are usually built with particular people. When a ministry reorganises or an election changes the team, the relationship goes with them. The case for coordination then has to be made again, often to officials who do not yet see the point.","Mali — the government counterpart changed three times in one year: the official was promoted, the replacement took extended sick leave, and a third arrived without the background.",
F361,Transition,barrier,"Governments often nominate someone who already has a full-time job, with no information support behind them and no home for humanitarian work in their institution. The same happens where the successor is a national NGO or a public utility. One transition plan set a target that five months of emergency showed to be beyond them, and is being reopened.","Niger — the co-leading ministry has effectively one trained focal point who understands what a cluster is, no IM function, and no ministry of humanitarian action behind it.",
F362,Transition,context,"Coordination capacity placed inside government does not automatically carry authority. Placement and integration are two different things, and the second is the one that has to be negotiated.","Ethiopia — the plan for the coordinator to sit inside the ministry did not proceed because no office space was made available, so the intended co-location never happened.",
F241,Fundamentals,barrier,Capacity development runs on funding shorter and less predictable than the engagement it needs. What gets cut is the depth of the support rather than the activity itself.,"Nigeria — training of trainers for state facilitators and co-coordinators was delivered remotely rather than in person for cost reasons, ahead of a five-day session with state representatives.",
F802,Fundamentals,barrier,"Planned coordination work is repeatedly pushed aside by emergencies and process demands. Commitments carried in the workplan for years are never started, because each year something arrives that cannot be put off.","Niger — a change to the pooled fund review process arrived with a day's notice, required the committee to meet across the week, and displaced the cluster meeting and other planned work.",
F1700,Transition,barrier,A new emergency interrupts transition. Coordination ownership returns to the lead agency and the successor actors built up during the calmer period are set aside at the moment they would learn most by doing.,"Kenya — a sudden escalation triggering a flash appeal saw the lead agency resume coordination ownership, sidelining the actors that had been capacitated during the preceding period.",
F360,Fundamentals,barrier,Partner technical capacity is thin in particular areas. The question there is not who coordinates the work but who is able to do it at all.,"Mali — a thematic group is being formed to develop a faecal sludge management strategy for displacement sites, and few of the partners approached so far have experience in that area.",
F386,Transition,enabler,"Where a national co-coordinator is in post and based in a local organisation, coordination survives the departure of international staff, and local partners have someone they can approach directly. It is the most reliable way of keeping things going that the evidence shows.","Iraq — a bilingual national co-coordinator, institutionally anchored in the NGO co-lead, carried the process for a year after the international coordinator left.",
F387,Transition,enabler,"Staff placed inside a ministry work where the ministry wants them there. One government asked for a post directly. Another had two staff placed to cover a missing emergency function. Where the offer came from outside without being asked for, candidates were put forward and none were accepted.","Kenya — the responsible cabinet secretary asked for an embedded coordination support position, which was then recruited through third-party contracting. The request coming from government is what made it work.",
F251,ABC,enabler,"Putting dedicated coordination capacity where delivery happens improves alignment, strengthens work with local authorities, and gives a sector enough standing to question parallel structures when they are proposed.",Somalia — a major drought scale-up was anchored by five operational coordination hubs with dedicated subnational capacity and district-level area coordination groups.,
F1001,Fundamentals,practice,"Where a dedicated sector information management post ended, capacity was rebuilt as a shared resource across sectors and agencies rather than replaced one for one.","Bangladesh — after the sector IM post was discontinued, a pool serving all agency-led sectors was created in the field office: an international lead, a national officer and four analysts.",
F805,Fundamentals,enabler,"Lightweight tools built on ordinary office software have measurably reduced the information management workload, with no procurement and no new platform.",Niger — a database that takes data pasted from the reporting platform and returns results by indicator has made routine products quick to produce; the cluster now considers IM its strongest area.,
F026,ABC;Transition,recommendation,The same request comes up in very different places: put us in touch with countries facing what we face. Governments ask to visit places that have already been through a handover. Coordinators ask how others manage the relationship between clusters and area structures.,"Burkina Faso — bi-monthly discussion meetings with all regional focal points to work through challenges and share solutions were well received, and participants asked for them to continue.",
F396,Transition,enabler,"Handover needs a funded period of accompaniment, not a cut-over date. Continued technical support is what keeps a new successor mechanism standing through its first year.","Cameroon — transition planning proposed a six-month post-handover mentoring phase with quarterly reviews, rather than ending support at the point of transfer.",
