id,column,title,organisation,year,url,summary,evidence
G01,general,Guidance Note on Cluster Simplification and Adapting In-Country Coordination,IASC Humanitarian Working Group,2026-03,https://interagencystandingcommittee.org/sites/default/files/2026-03/IASC%20Guidance%20Note%20on%20Cluster%20Simplification%20and%20Adapting%20In-Country%20Coordination%20to%20Context_March%202026.pdf,"The reference point for the current reshaping of coordination. Reduces the system to eight clusters — nutrition, protection, shelter/land/site coordination, WASH, education, food security, health, and logistics with telecommunications — and carries an annex on lead and accountability arrangements for consolidated clusters. WASH remains standalone.",F421
G02,general,Reference Module for Cluster Coordination at Country Level,IASC,2015,https://www.cccmcluster.org/sites/default/files/2019-01/IASC-TransAg4_Cluster_Coordination_reference_module-2012-lang_EN-ref025.pdf,The foundational description of what a cluster is for and what its core functions are. Everything in the transition and area-based material assumes it.,
G03,general,Q&A: the process of cluster simplification within the Humanitarian Reset,Global Nutrition Cluster,2025-04,https://www.nutritioncluster.net/sites/nutritioncluster.com/files/2025-07/Q&A-Webinar%20The%20Process%20of%20Cluster%20Simplification%20within%20the%20Humanitarian%20Reset_April%202025.pdf,"Plainer answers to the questions country teams were actually asking about simplification, written before the March 2026 guidance settled them.",
G04,general,Understanding and influencing the IASC system at country level,ICVA,2025-05,https://www.icvanetwork.org/uploads/2025/05/Understanding-and-influencing-the-IASC-system-at-country-level-EN.pdf,Written for NGOs rather than for cluster staff. Useful if the question is how a partner gets a decision changed rather than how the structure is meant to work.,F260
G10,transition,Guidance on Cluster Transition and Deactivation,IASC,2024,https://healthcluster.who.int/docs/librariesprovider16/meeting-reports/iasc-guidance-on-cluster-transition-and-deactivation.pdf,"The normative basis for deactivation: when the conditions for activation are no longer met, and what a phased handover is expected to involve. Sets out that transition is a change in how coordination is arranged, not an end to it.",F333
G11,transition,Transition and Deactivation Checklist for HCs and HCTs,IASC,2024,https://www.unicefintercluster.net/sites/default/files/2025-05/8_HC-HCT%20Transition%20and%20Deactivation%20Checklist.pdf,The operational companion to the guidance — what a humanitarian coordinator and country team are expected to have done before a deactivation decision.,F421
G12,transition,Annex B — example template for a transition strategy,IASC,2024,,A worked template rather than a narrative document. The starting structure if a country is drafting a transition strategy from nothing.,F346
G13,transition,Protection Toolkit — Chapter 8: Cluster Transition,Global Protection Cluster,2025,,"Another sector's version of the same problem. Worth reading alongside the WASH material because the difficulties are largely shared, and because a comparison is useful when arguing that a constraint is systemic rather than sectoral.",F421
G20,abc,Standard Terms of Reference for Area-Based Coordination,IASC,2026-03,https://interagencystandingcommittee.org/sites/default/files/2026-03/Standard%20Terms%20of%20Reference%20for%20Area-Based%20Coordination.pdf,"Newly issued. This is the first standard terms of reference for area-based coordination at inter-agency level — which matters because the absence of one is a documented problem in this evidence base, not a theoretical gap.",F227
G21,abc,Area-Based Development Practice Note,UNDP,2025,,"The development-side framing of area-based working. Useful where the successor arrangement is a development platform rather than a humanitarian one, which is a live question in several transition contexts.",F373
G22,abc,Guidance Note on Cluster Simplification and Adapting In-Country Coordination,IASC Humanitarian Working Group,2026-03,https://interagencystandingcommittee.org/sites/default/files/2026-03/IASC%20Guidance%20Note%20on%20Cluster%20Simplification%20and%20Adapting%20In-Country%20Coordination%20to%20Context_March%202026.pdf,Listed here as well as under general coordination: the adapting-to-context half of this note is where area-based arrangements are addressed at inter-agency level.,F209
